Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,13228,6060,1820,5196,152
Original,8743 (4485; 33.9%),3825 (2235; 36.9%),1574 (246; 13.5%),3226 (1970; 37.9%),118 (34; 22.4%)
Original,8764 (4464; 33.7%),3834 (2226; 36.7%),1574 (246; 13.5%),3238 (1958; 37.7%),118 (34; 22.4%)
Original,8776 (4452; 33.7%),3840 (2220; 36.6%),1574 (246; 13.5%),3244 (1952; 37.6%),118 (34; 22.4%)
Original,8887 (4341; 32.8%),3875 (2185; 36.1%),1586 (234; 12.9%),3308 (1888; 36.3%),118 (34; 22.4%)
Original,8895 (4333; 32.8%),3875 (2185; 36.1%),1586 (234; 12.9%),3316 (1880; 36.2%),118 (34; 22.4%)
Original,8899 (4329; 32.7%),3879 (2181; 36.0%),1586 (234; 12.9%),3316 (1880; 36.2%),118 (34; 22.4%)
Original,8899 (4329; 32.7%),3879 (2181; 36.0%),1586 (234; 12.9%),3316 (1880; 36.2%),118 (34; 22.4%)
Original,8930 (4298; 32.5%),3890 (2170; 35.8%),1592 (228; 12.5%),3329 (1867; 35.9%),119 (33; 21.7%)
Original,8965 (4263; 32.2%),3892 (2168; 35.8%),1592 (228; 12.5%),3362 (1834; 35.3%),119 (33; 21.7%)
Original,9029 (4199; 31.7%),3904 (2156; 35.6%),1595 (225; 12.4%),3410 (1786; 34.4%),120 (32; 21.1%)
Original,9093 (4135; 31.3%),3921 (2139; 35.3%),1596 (224; 12.3%),3456 (1740; 33.5%),120 (32; 21.1%)
Original,9105 (4123; 31.2%),3925 (2135; 35.2%),1596 (224; 12.3%),3464 (1732; 33.3%),120 (32; 21.1%)
Original,9136 (4092; 30.9%),3942 (2118; 35.0%),1596 (224; 12.3%),3478 (1718; 33.1%),120 (32; 21.1%)
Original,9169 (4059; 30.7%),3966 (2094; 34.6%),1596 (224; 12.3%),3487 (1709; 32.9%),120 (32; 21.1%)
Original,9217 (4011; 30.3%),4010 (2050; 33.8%),1599 (221; 12.1%),3488 (1708; 32.9%),120 (32; 21.1%)
Original,9228 (4000; 30.2%),4021 (2039; 33.6%),1599 (221; 12.1%),3488 (1708; 32.9%),120 (32; 21.1%)
Original,9348 (3880; 29.3%),4112 (1948; 32.1%),1618 (202; 11.1%),3497 (1699; 32.7%),121 (31; 20.4%)
Original,9356 (3872; 29.3%),4120 (1940; 32.0%),1618 (202; 11.1%),3497 (1699; 32.7%),121 (31; 20.4%)
Original,9374 (3854; 29.1%),4128 (1932; 31.9%),1618 (202; 11.1%),3507 (1689; 32.5%),121 (31; 20.4%)
Original,9383 (3845; 29.1%),4136 (1924; 31.7%),1618 (202; 11.1%),3508 (1688; 32.5%),121 (31; 20.4%)
Original,9415 (3813; 28.8%),4150 (1910; 31.5%),1620 (200; 11.0%),3524 (1672; 32.2%),121 (31; 20.4%)
Original,9438 (3790; 28.7%),4167 (1893; 31.2%),1620 (200; 11.0%),3530 (1666; 32.1%),121 (31; 20.4%)
Original,9459 (3769; 28.5%),4176 (1884; 31.1%),1621 (199; 10.9%),3541 (1655; 31.9%),121 (31; 20.4%)
Original,9474 (3754; 28.4%),4185 (1875; 30.9%),1624 (196; 10.8%),3544 (1652; 31.8%),121 (31; 20.4%)
Original,9494 (3734; 28.2%),4196 (1864; 30.8%),1624 (196; 10.8%),3553 (1643; 31.6%),121 (31; 20.4%)
Original,9649 (3579; 27.1%),4298 (1762; 29.1%),1641 (179; 9.8%),3588 (1608; 30.9%),122 (30; 19.7%)
Original,9680 (3548; 26.8%),4328 (1732; 28.6%),1641 (179; 9.8%),3589 (1607; 30.9%),122 (30; 19.7%)
Original,9725 (3503; 26.5%),4360 (1700; 28.1%),1641 (179; 9.8%),3602 (1594; 30.7%),122 (30; 19.7%)
Original,9802 (3426; 25.9%),4415 (1645; 27.1%),1644 (176; 9.7%),3621 (1575; 30.3%),122 (30; 19.7%)
Original,9823 (3405; 25.7%),4428 (1632; 26.9%),1645 (175; 9.6%),3628 (1568; 30.2%),122 (30; 19.7%)
Original,9837 (3391; 25.6%),4442 (1618; 26.7%),1645 (175; 9.6%),3628 (1568; 30.2%),122 (30; 19.7%)
Original,9850 (3378; 25.5%),4454 (1606; 26.5%),1645 (175; 9.6%),3629 (1567; 30.2%),122 (30; 19.7%)
Original,9867 (3361; 25.4%),4461 (1599; 26.4%),1648 (172; 9.5%),3636 (1560; 30.0%),122 (30; 19.7%)
Original,9882 (3346; 25.3%),4471 (1589; 26.2%),1648 (172; 9.5%),3641 (1555; 29.9%),122 (30; 19.7%)
Original,9907 (3321; 25.1%),4490 (1570; 25.9%),1648 (172; 9.5%),3647 (1549; 29.8%),122 (30; 19.7%)
Original,9916 (3312; 25.0%),4497 (1563; 25.8%),1648 (172; 9.5%),3649 (1547; 29.8%),122 (30; 19.7%)
Original,9987 (3241; 24.5%),4519 (1541; 25.4%),1648 (172; 9.5%),3698 (1498; 28.8%),122 (30; 19.7%)
Original,10011 (3217; 24.3%),4531 (1529; 25.2%),1649 (171; 9.4%),3709 (1487; 28.6%),122 (30; 19.7%)
Original,10077 (3151; 23.8%),4590 (1470; 24.3%),1649 (171; 9.4%),3715 (1481; 28.5%),123 (29; 19.1%)
Original,10086 (3142; 23.8%),4596 (1464; 24.2%),1649 (171; 9.4%),3717 (1479; 28.5%),124 (28; 18.4%)
Original,10094 (3134; 23.7%),4604 (1456; 24.0%),1649 (171; 9.4%),3717 (1479; 28.5%),124 (28; 18.4%)
