Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1430 (404),170.97552447552448 (-169.21816351587344),399 (70),191.70426065162908 (-189.85138218681033),1767 (598),101.99349179400113 (-100.50533111746836)
Original,1426 (408),172.92145862552596 (-171.16409766587492),399 (70),193.39348370927317 (-191.5406052444544),1719 (646),102.91361256544502 (-101.42545188891225)
Original,1423 (411),174.9132115249473 (-173.15585056529625),399 (70),195.08270676691728 (-193.22982830209853),1580 (785),107.30632911392405 (-105.81816843739128)
Original,1418 (416),177.02362482369534 (-175.2662638640443),397 (72),197.62216624685138 (-195.76928778203262),1580 (785),108.8129746835443 (-107.32481400701153)
Original,1414 (420),179.1531117397454 (-177.39575078009437),397 (72),199.31738035264485 (-197.4645018878261),1579 (786),110.38948701709943 (-108.90132634056665)
Original,1358 (476),183.830265095729 (-182.07290413607797),390 (79),203.48461538461538 (-201.63173691979662),1564 (801),111.75127877237851 (-110.26311809584574)
Original,1356 (478),185.76216814159292 (-184.00480718194189),390 (79),205.18974358974359 (-203.33686512492483),1564 (801),113.25127877237851 (-111.76311809584574)
Original,1354 (480),187.1602658788774 (-185.40290491922636),390 (79),206.8948717948718 (-205.04199333005303),1527 (838),115.5893909626719 (-114.10123028613913)
Original,1350 (484),189.1737037037037 (-187.41634274405266),390 (79),208.6 (-206.74712153518124),1470 (895),118.21700680272109 (-116.72884612618832)
Original,1341 (493),191.831096196868 (-190.07373523721697),384 (85),210.9140625 (-209.06118403518124),1466 (899),119.36323328785812 (-117.87507261132535)
Original,1325 (509),195.3109433962264 (-193.55358243657537),378 (91),212.6494708994709 (-210.79659243465215),1392 (973),122.85452586206897 (-121.3663651855362)
Original,1303 (531),198.95625479662317 (-197.19889383697213),378 (91),214.2962962962963 (-212.44341783147755),1392 (973),124.347341954023 (-122.85918127749022)
Original,1270 (564),203.22007874015748 (-201.46271778050644),377 (92),216.36472148541114 (-214.51184302059238),1392 (973),125.840158045977 (-124.35199736944423)
Original,1256 (578),206.74601910828025 (-204.9886581486292),370 (99),220.62432432432433 (-218.77144585950558),1385 (980),127.63285198555957 (-126.1446913090268)
Original,1246 (588),209.8298555377207 (-208.07249457806967),370 (99),222.27702702702703 (-220.42414856220827),1385 (980),129.12707581227437 (-127.6389151357416)
Original,1227 (607),214.40301548492258 (-212.64565452527154),370 (99),223.92972972972973 (-222.07685126491097),1377 (988),130.97349310094407 (-129.4853324244113)
Original,1187 (647),220.67565290648693 (-218.9182919468359),370 (99),225.58243243243243 (-223.72955396761367),1377 (988),132.46913580246914 (-130.98097512593637)
Original,1156 (678),224.57612456747404 (-222.818763607823),370 (99),227.13783783783785 (-225.2849593730191),1377 (988),133.96477850399418 (-132.4766178274614)
Original,1150 (684),227.1095652173913 (-225.35220425774025),370 (99),228.79054054054055 (-226.9376620757218),1377 (988),135.46042120551925 (-133.97226052898648)
Original,1150 (684),228.84434782608696 (-227.08698686643592),370 (99),230.44324324324324 (-228.5903647784245),1377 (988),136.9560639070443 (-135.46790323051152)
Original,1132 (702),232.77473498233215 (-231.0173740226811),370 (99),231.75 (-229.89712153518124),1276 (1089),141.74216300940438 (-140.2540023328716)
Original,1125 (709),235.76355555555557 (-234.00619459590453),370 (99),233.35945945945946 (-231.5065809946407),1131 (1234),150.32183908045977 (-148.833678403927)
Original,1121 (713),238.18108831400536 (-236.42372735435433),370 (99),235.01216216216216 (-233.1592836973434),1005 (1360),160.05621890547263 (-158.56805822893986)
Original,1121 (713),239.92595896520965 (-238.1685980055586),370 (99),236.66486486486485 (-234.8119864000461),821 (1544),181.26187576126674 (-179.77371508473396)
Original,1110 (724),242.74144144144145 (-240.98408048179041),370 (99),238.28513513513514 (-236.43225667031638),634 (1731),220.1774447949527 (-218.68928411841992)
Original,1098 (736),246.29781420765028 (-244.54045324799924),370 (99),239.93783783783783 (-238.08495937301907),633 (1732),222.108214849921 (-220.62005417338824)
Original,1090 (744),249.6633027522936 (-247.90594179264255),368 (101),242.87092391304347 (-241.0180454482247),626 (1739),225.1573482428115 (-223.66918756627874)
Original,1089 (745),251.60514233241506 (-249.84778137276402),368 (101),244.52173913043478 (-242.66886066561602),626 (1739),226.7388178913738 (-225.25065721484103)
Original,1089 (745),253.35078053259872 (-251.59341957294768),368 (101),246.1725543478261 (-244.31967588300733),626 (1739),228.3202875399361 (-226.83212686340332)
Original,1079 (755),256.65430954587583 (-254.8969485862248),368 (101),247.8233695652174 (-245.97049110039865),625 (1740),230.2696 (-228.78143932346723)
Original,1027 (807),268.08519961051604 (-266.32783865086503),365 (104),251.06164383561645 (-249.2087653707977),602 (1763),236.1436877076412 (-234.65552703110842)
Original,1012 (822),272.7529644268775 (-270.9956034672265),365 (104),252.6958904109589 (-250.84301194614014),585 (1780),241.41965811965812 (-239.93149744312535)
Original,1012 (822),274.5177865612648 (-272.7604256016138),365 (104),254.33013698630137 (-252.4772585214826),585 (1780),242.96923076923076 (-241.481070092698)
Original,1036 (798),271.0892857142857 (-269.3319247546347),367 (102),255.23433242506812 (-253.38145396024936),660 (1705),220.42954545454546 (-218.9413847780127)
Original,1047 (787),271.37535816618913 (-269.6179972065381),367 (102),256.8705722070845 (-255.01769374226572),660 (1705),221.86363636363637 (-220.3754756871036)
Original,1053 (781),272.15716999050335 (-270.39980903085234),367 (102),258.5068119891008 (-256.653933524282),667 (1698),221.476011994003 (-219.98785131747022)
Original,1066 (768),272.13227016885554 (-270.37490920920453),368 (101),259.5991847826087 (-257.7463063177899),675 (1690),221.01777777777778 (-219.529617101245)
Original,1071 (763),272.99486461251166 (-271.23750365286065),370 (99),260.4594594594595 (-258.6065809946407),688 (1677),219.61046511627907 (-218.1223044397463)
Original,1077 (757),273.42943361188486 (-271.67207265223385),370 (99),262.09594594594597 (-260.2430674811272),688 (1677),221.03052325581396 (-219.5423625792812)
Original,1079 (755),274.96061167747916 (-273.20325071782815),370 (99),263.73243243243246 (-261.8795539676137),707 (1658),218.97171145685996 (-217.4835507803272)
Original,1121 (713),274.1155218554862 (-272.35816089583517),370 (99),265.3689189189189 (-263.5160404541001),707 (1658),220.3974540311174 (-218.90929335458463)
Original,1131 (703),274.63616268788684 (-272.8788017282358),370 (99),267.0054054054054 (-265.1525269405866),707 (1658),221.82319660537482 (-220.33503592884205)
Original,1142 (692),274.8169877408056 (-273.0596267811546),370 (99),267.677027027027 (-265.8241485622082),707 (1658),223.24893917963226 (-221.7607785030995)
Original,1162 (672),273.2878657487091 (-271.5305047890581),379 (90),265.7757255936676 (-263.9228471288488),714 (1651),223.33473389355743 (-221.84657321702466)
Original,1167 (667),274.1765209940017 (-272.4191600343507),381 (88),266.6076115485564 (-264.7547330837376),740 (1625),219.02162162162162 (-217.53346094508885)
Original,1172 (662),275.2103242320819 (-273.4529632724309),381 (88),268.257217847769 (-266.40433938295024),740 (1625),220.43716216216217 (-218.9490014856294)
Original,1181 (653),275.49957662997457 (-273.74221567032356),381 (88),269.90682414698165 (-268.05394568216286),740 (1625),221.85270270270271 (-220.36454202616994)
Original,1201 (633),274.1794338051624 (-272.42207284551137),390 (79),269.11538461538464 (-267.26250615056586),740 (1625),223.26824324324323 (-221.78008256671046)
Original,1207 (627),274.86246893123445 (-273.10510797158344),390 (79),270.79487179487177 (-268.941993330053),742 (1623),224.4299191374663 (-222.94175846093353)
Original,1218 (616),275.0307881773399 (-273.2734272176889),390 (79),272.47435897435895 (-270.62148050954016),742 (1623),225.8477088948787 (-224.35954821834594)
Original,1260 (574),271.30119047619047 (-269.54382951653946),410 (59),266.2048780487805 (-264.3519995839617),949 (1416),198.03213909378292 (-196.54397841725014)
Original,1260 (574),273.11626984126985 (-271.35890888161885),412 (57),267.62985436893206 (-265.77697590411327),957 (1408),198.19331243469173 (-196.70515175815896)
Original,1268 (566),273.82216088328073 (-272.0647999236297),412 (57),269.34587378640776 (-267.492995321589),1063 (1302),187.17591721542803 (-185.68775653889526)
Original,1268 (566),275.6384069400631 (-273.88104598041207),421 (48),269.9893111638955 (-268.1364326990767),1063 (1302),188.63499529633114 (-187.14683461979837)
Original,1271 (563),277.01612903225805 (-275.25876807260704),425 (44),270.6447058823529 (-268.79182741753414),1111 (1254),186.6948694869487 (-185.20670881041593)
