Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,4744,1834,469,2365,76
Original,3971 (773; 16.3%),1455 (379; 20.7%),424 (45; 9.6%),2020 (345; 14.6%),72 (4; 5.3%)
Original,3903 (841; 17.7%),1452 (382; 20.8%),422 (47; 10.0%),1958 (407; 17.2%),71 (5; 6.6%)
Original,3853 (891; 18.8%),1451 (383; 20.9%),422 (47; 10.0%),1910 (455; 19.2%),70 (6; 7.9%)
Original,3846 (898; 18.9%),1451 (383; 20.9%),415 (54; 11.5%),1910 (455; 19.2%),70 (6; 7.9%)
Original,3789 (955; 20.1%),1447 (387; 21.1%),408 (61; 13.0%),1864 (501; 21.2%),70 (6; 7.9%)
Original,3714 (1030; 21.7%),1432 (402; 21.9%),399 (70; 14.9%),1813 (552; 23.3%),70 (6; 7.9%)
Original,3666 (1078; 22.7%),1430 (404; 22.0%),399 (70; 14.9%),1767 (598; 25.3%),70 (6; 7.9%)
Original,3613 (1131; 23.8%),1426 (408; 22.2%),399 (70; 14.9%),1719 (646; 27.3%),69 (7; 9.2%)
Original,3471 (1273; 26.8%),1423 (411; 22.4%),399 (70; 14.9%),1580 (785; 33.2%),69 (7; 9.2%)
Original,3464 (1280; 27.0%),1418 (416; 22.7%),397 (72; 15.4%),1580 (785; 33.2%),69 (7; 9.2%)
Original,3459 (1285; 27.1%),1414 (420; 22.9%),397 (72; 15.4%),1579 (786; 33.2%),69 (7; 9.2%)
Original,3381 (1363; 28.7%),1358 (476; 26.0%),390 (79; 16.8%),1564 (801; 33.9%),69 (7; 9.2%)
Original,3379 (1365; 28.8%),1356 (478; 26.1%),390 (79; 16.8%),1564 (801; 33.9%),69 (7; 9.2%)
Original,3340 (1404; 29.6%),1354 (480; 26.2%),390 (79; 16.8%),1527 (838; 35.4%),69 (7; 9.2%)
Original,3278 (1466; 30.9%),1350 (484; 26.4%),390 (79; 16.8%),1470 (895; 37.8%),68 (8; 10.5%)
Original,3259 (1485; 31.3%),1341 (493; 26.9%),384 (85; 18.1%),1466 (899; 38.0%),68 (8; 10.5%)
Original,3162 (1582; 33.3%),1325 (509; 27.8%),378 (91; 19.4%),1392 (973; 41.1%),67 (9; 11.8%)
Original,3140 (1604; 33.8%),1303 (531; 29.0%),378 (91; 19.4%),1392 (973; 41.1%),67 (9; 11.8%)
Original,3106 (1638; 34.5%),1270 (564; 30.8%),377 (92; 19.6%),1392 (973; 41.1%),67 (9; 11.8%)
Original,3077 (1667; 35.1%),1256 (578; 31.5%),370 (99; 21.1%),1385 (980; 41.4%),66 (10; 13.2%)
Original,3067 (1677; 35.3%),1246 (588; 32.1%),370 (99; 21.1%),1385 (980; 41.4%),66 (10; 13.2%)
Original,3040 (1704; 35.9%),1227 (607; 33.1%),370 (99; 21.1%),1377 (988; 41.8%),66 (10; 13.2%)
Original,3000 (1744; 36.8%),1187 (647; 35.3%),370 (99; 21.1%),1377 (988; 41.8%),66 (10; 13.2%)
Original,2969 (1775; 37.4%),1156 (678; 37.0%),370 (99; 21.1%),1377 (988; 41.8%),66 (10; 13.2%)
Original,2963 (1781; 37.5%),1150 (684; 37.3%),370 (99; 21.1%),1377 (988; 41.8%),66 (10; 13.2%)
Original,2963 (1781; 37.5%),1150 (684; 37.3%),370 (99; 21.1%),1377 (988; 41.8%),66 (10; 13.2%)
Original,2844 (1900; 40.1%),1132 (702; 38.3%),370 (99; 21.1%),1276 (1089; 46.0%),66 (10; 13.2%)
Original,2683 (2061; 43.4%),1125 (709; 38.7%),370 (99; 21.1%),1131 (1234; 52.2%),57 (19; 25.0%)
Original,2549 (2195; 46.3%),1121 (713; 38.9%),370 (99; 21.1%),1005 (1360; 57.5%),53 (23; 30.3%)
Original,2362 (2382; 50.2%),1121 (713; 38.9%),370 (99; 21.1%),821 (1544; 65.3%),50 (26; 34.2%)
Original,2164 (2580; 54.4%),1110 (724; 39.5%),370 (99; 21.1%),634 (1731; 73.2%),50 (26; 34.2%)
Original,2151 (2593; 54.7%),1098 (736; 40.1%),370 (99; 21.1%),633 (1732; 73.2%),50 (26; 34.2%)
Original,2134 (2610; 55.0%),1090 (744; 40.6%),368 (101; 21.5%),626 (1739; 73.5%),50 (26; 34.2%)
Original,2133 (2611; 55.0%),1089 (745; 40.6%),368 (101; 21.5%),626 (1739; 73.5%),50 (26; 34.2%)
Original,2133 (2611; 55.0%),1089 (745; 40.6%),368 (101; 21.5%),626 (1739; 73.5%),50 (26; 34.2%)
Original,2122 (2622; 55.3%),1079 (755; 41.2%),368 (101; 21.5%),625 (1740; 73.6%),50 (26; 34.2%)
