Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,9179,4768,1819,2483,109
Original,8788 (391; 4.3%),4443 (325; 6.8%),1801 (18; 1.0%),2436 (47; 1.9%),108 (1; 0.9%)
Original,8795 (384; 4.2%),4450 (318; 6.7%),1801 (18; 1.0%),2436 (47; 1.9%),108 (1; 0.9%)
Original,8827 (352; 3.8%),4471 (297; 6.2%),1807 (12; 0.7%),2441 (42; 1.7%),108 (1; 0.9%)
Original,8872 (307; 3.3%),4514 (254; 5.3%),1809 (10; 0.5%),2441 (42; 1.7%),108 (1; 0.9%)
Original,8875 (304; 3.3%),4517 (251; 5.3%),1809 (10; 0.5%),2441 (42; 1.7%),108 (1; 0.9%)
Original,8886 (293; 3.2%),4527 (241; 5.1%),1810 (9; 0.5%),2441 (42; 1.7%),108 (1; 0.9%)
Original,8919 (260; 2.8%),4556 (212; 4.4%),1811 (8; 0.4%),2444 (39; 1.6%),108 (1; 0.9%)
Original,8930 (249; 2.7%),4567 (201; 4.2%),1811 (8; 0.4%),2444 (39; 1.6%),108 (1; 0.9%)
Original,8948 (231; 2.5%),4584 (184; 3.9%),1811 (8; 0.4%),2445 (38; 1.5%),108 (1; 0.9%)
Original,8976 (203; 2.2%),4612 (156; 3.3%),1811 (8; 0.4%),2445 (38; 1.5%),108 (1; 0.9%)
Original,9026 (153; 1.7%),4632 (136; 2.9%),1811 (8; 0.4%),2475 (8; 0.3%),108 (1; 0.9%)
Original,9032 (147; 1.6%),4638 (130; 2.7%),1811 (8; 0.4%),2475 (8; 0.3%),108 (1; 0.9%)
Original,9069 (110; 1.2%),4674 (94; 2.0%),1811 (8; 0.4%),2476 (7; 0.3%),108 (1; 0.9%)
Original,9079 (100; 1.1%),4684 (84; 1.8%),1811 (8; 0.4%),2476 (7; 0.3%),108 (1; 0.9%)
Original,9099 (80; 0.9%),4697 (71; 1.5%),1811 (8; 0.4%),2483 (0; 0.0%),108 (1; 0.9%)
Original,9117 (62; 0.7%),4715 (53; 1.1%),1811 (8; 0.4%),2483 (0; 0.0%),108 (1; 0.9%)
Original,9120 (59; 0.6%),4718 (50; 1.0%),1811 (8; 0.4%),2483 (0; 0.0%),108 (1; 0.9%)
